Date,Open,Open2,Close,Close2,Moving Average,Stochastic,Momentum,Subtracao,Commodity Channel Index
2006-03-20,2.3293,"2,329,286",2.2854,"2,285,357",2.3231,0.3559322034,0.0261,0.0377,15242.6842
2006-03-21,2.2075,"2,207,500",2.2075,"2,207,500",2.3234,0.1937016949,0.0286,0.1159,19269.5454
2006-03-22,2.2200,"2,220,000",2.2025,"2,202,500",2.3163,0,-0.1382,0.1138,20050.4622
2006-03-23,2.2079,"2,207,857",2.1486,"2,148,571",2.2959,0,-0.2018,0.1473,15076.8405
2006-03-24,2.1518,"2,151,786",2.1414,"2,141,428",2.2593,0,-0.2168,0.1179,12503.0104
2006-03-27,2.1554,"2,155,357",2.1254,"2,125,357",2.2273,0,-0.1554,0.1020,10515.8840
2006-03-28,2.1296,"2,129,643",2.0968,"2,096,786",2.2029,0,-0.1839,0.1061,9438.8330
2006-03-29,2.1118,"2,111,786",2.2261,"2,226,071",2.1725,0,-0.1886,0.0536,8212.8971
2006-03-30,2.2436,"2,243,572",2.2411,"2,241,071",2.1640,1,0.0186,0.0770,8009.3004
2006-03-31,2.2589,"2,258,929",2.2400,"2,240,000",2.1688,1,0.0386,0.0712,8461.3032
2006-04-03,2.2739,"2,273,929",2.2375,"2,237,500",2.1742,0.992577191,0.0914,0.0633,9018.1479
2006-04-04,2.2179,"2,217,857",2.1846,"2,184,643",2.1869,0.9752503725,0.0961,0.0022,10359.6341
2006-04-05,2.3111,"2,311,071",2.4004,"2,400,357",2.1931,0.6089129154,0.0593,0.2073,12916.4393
2006-04-06,2.4393,"2,439,286",2.5443,"2,544,286",2.2323,1,0.3036,0.3119,10763.6071
2006-04-07,2.5332,"2,533,214",2.4925,"2,492,500",2.2963,1,0.3182,0.1962,8174.0679
2006-04-10,2.5104,"2,510,357",2.4525,"2,452,500",2.3343,0.8560072071,0.2514,0.1182,7033.8965
2006-04-11,2.4639,"2,463,928",2.4282,"2,428,214",2.3645,0.7447858015,0.2125,0.0637,6822.9626
2006-04-12,2.4289,"2,428,929",2.3825,"2,382,500",2.3914,0.677257725,0.1907,0.0089,6954.3027
2006-04-13,2.3693,"2,369,286",2.3739,"2,373,929",2.4121,0.5501483415,0.1979,0.0382,7434.4848
2006-04-17,2.3754,"2,375,357",2.3146,"2,314,643",2.4392,0,-0.0264,0.1245,7231.5084
2006-04-18,2.3229,"2,322,857",2.3650,"2,365,000",2.4269,0,-0.2296,0.0619,7886.2256
2006-04-19,2.3864,"2,386,429",2.3446,"2,344,643",2.4013,0.2831319543,-0.1275,0.0567,10992.1551
2006-04-20,2.4825,"2,482,500",2.4154,"2,415,357",2.3802,0.2176168058,-0.1079,0.0352,14115.6084
2006-04-21,2.4354,"2,435,357",2.3943,"2,394,286",2.3749,0.8867932835,-0.0129,0.0194,17088.6016
2006-04-24,2.3875,"2,387,500",2.3482,"2,348,214",2.3701,0.7907838036,0.0118,0.0218,19243.7637
2006-04-25,2.3557,"2,355,714",2.3632,"2,363,214",2.3652,0.3333300236,-0.0257,0.0019,18511.0727
2006-04-26,2.3804,"2,380,357",2.4339,"2,433,928",2.3636,0.4822666164,0.0486,0.0703,20586.4655
2006-04-27,2.4189,"2,418,929",2.4771,"2,477,143",2.3807,1,0.0689,0.0965,24942.8548
2006-04-28,2.4779,"2,477,857",2.5139,"2,513,929",2.3967,1,0.1325,0.1172,22236.6539
2006-05-01,2.5275,"2,527,500",2.4857,"2,485,714",2.4209,1,0.0986,0.0648,18706.9568
2006-05-02,2.5054,"2,505,357",2.5579,"2,557,857",2.4309,0.8297378029,0.0914,0.1269,17361.8482
2006-05-03,2.5654,"2,565,357",2.5407,"2,540,714",2.4543,1,0.2096,0.0864,13755.2077
2006-05-04,2.5436,"2,543,571",2.5404,"2,540,357",2.4818,0.9119259362,0.1775,0.0586,12316.9061
2006-05-05,2.5664,"2,566,429",2.5675,"2,567,500",2.5071,0.8587901137,0.1064,0.0604,11307.4650
2006-05-08,2.6068,"2,606,786",2.5675,"2,567,500",2.5262,1,0.0904,0.0413,11578.1098
2006-05-09,2.5650,"2,565,000",2.5368,"2,536,786",2.5391,1,0.0536,0.0023,12792.1353
2006-05-10,2.5461,"2,546,072",2.5214,"2,521,429",2.5423,0.6244589539,0.0511,0.0209,16148.6330
2006-05-11,2.5282,"2,528,214",2.4339,"2,433,928",2.5474,0,-0.0364,0.1135,17972.0166
2006-05-12,2.4232,"2,423,214",2.4179,"2,417,857",2.5297,0,-0.1068,0.1119,18471.5921
2006-05-15,2.4061,"2,406,071",2.4211,"2,421,072",2.5122,0,-0.1225,0.0911,17201.3972
2006-05-16,2.4321,"2,432,143",2.3207,"2,320,714",2.4952,0.02148446636,-0.1464,0.1744,15825.0535
2006-05-17,2.3111,"2,311,071",2.3307,"2,330,714",2.4599,0,-0.2468,0.1292,12398.9058
2006-05-18,2.3457,"2,345,714",2.2564,"2,256,428",2.4261,0.04628086934,-0.2061,0.1696,10558.5101
2006-05-19,2.2593,"2,259,286",2.3039,"2,303,929",2.3860,0,-0.2650,0.0821,8240.6957
2006-05-22,2.2811,"2,281,071",2.2636,"2,263,572",2.3549,0.2676112676,-0.1300,0.0914,7562.7288
2006-05-23,2.3164,"2,316,429",2.2554,"2,255,357",2.3306,0.04339058818,-0.1543,0.0753,7679.6201
2006-05-24,2.2496,"2,249,643",2.2621,"2,262,143",2.3074,0,-0.1657,0.0453,7945.6650
2006-05-25,2.2950,"2,295,000",2.2975,"2,297,500",2.2847,0.09005135555,-0.0586,0.0128,8337.8097
2006-05-26,2.2968,"2,296,786",2.2696,"2,269,643",2.2814,0.5592446621,-0.0332,0.0117,10547.7718
